Account_No,Age,Gender,EducationLevel,Marital_Status,Account_Type,No_Of_Linked_Accounts,No_Of_Months_On_Bank,Has_Credit_Card,Credit_Score,Estimated_Income,Balance_Amount
4998365937,43,Female,Graduate,Married,Savings,1,48,No,682,Less than 40K,986191
4998365938,56,Male,Graduate,Married,Savings,1,43,No,744,80K - 120K,984391
4998365939,43,Male,Unknown,Single,Savings,1,36,No,785,60K - 80K,648790
4998365940,53,Male,Graduate,Single,Savings,1,48,Yes,752,80K - 120K,1048790
4998365941,50,Male,High School,Unknown,Savings,1,29,Yes,706,60K - 80K,1046390
4998365942,43,Female,Graduate,Married,Savings,1,27,Yes,583,40K - 60K,708259
4998365943,54,Male,High School,Married,Savings,1,39,Yes,660,80K - 120K,1108259
4998365944,33,Male,Unknown,Married,Savings,1,39,Yes,819,60K - 80K,1508259
4998365945,58,Female,Uneducated,Married,Savings,1,34,Yes,673,40K - 60K,1506699
4998365946,41,Male,Graduate,Single,Savings,2,30,Yes,752,80K - 120K,1276399
4998365947,48,Male,Post-Graduate,Single,Savings,1,38,Yes,578,60K - 80K,1275679
4998365948,55,Male,High School,Single,Savings,2,36,Yes,438,40K - 60K,1204599
4998365949,54,Female,Graduate,Married,Savings,2,38,Yes,652,Less than 40K,1604599
4998365950,51,Female,Post-Graduate,Divorced,Platinum,2,49,Yes,629,Unknown,1600279
4998365951,35,Male,Graduate,Single,Savings,1,52,Yes,720,80K - 120K,1081878
4998365952,50,Male,Uneducated,Single,Savings,1,42,Yes,668,80K - 120K,1481878
4998365953,55,Male,High School,Married,Savings,1,48,Yes,459,80K - 120K,1479718
4998365954,45,Female,College,Divorced,Savings,2,31,Yes,729,Less than 40K,1225134
4998365955,34,Male,Uneducated,Married,Savings,1,25,Yes,498,60K - 80K,1625134
4998365956,55,Female,Graduate,Married,Savings,1,25,No,549,40K - 60K,1622374
4998365957,48,Female,Unknown,Married,Savings,2,54,Yes,601,Less than 40K,1271789
4998365958,46,Male,Graduate,Married,Savings,1,64,Yes,544,60K - 80K,1269509
4998365959,61,Female,Graduate,Married,Savings,2,30,Yes,751,Less than 40K,909084
4998365960,,Male,Uneducated,Unknown,Savings,1,41,Yes,632,60K - 80K,1409084
4998365961,51,Female,Graduate,Married,Savings,1,57,Yes,694,Less than 40K,1406084
4998365962,39,Male,Doctorate,Married,Savings,2,31,Yes,678,60K - 80K,991983
4998365963,43,Male,Graduate,Married,Savings,2,46,Yes,695,120K +,1491983
4998365964,53,Male,Graduate,Single,Savings,2,41,No,661,60K - 80K,1490543
4998365965,38,Male,High School,Married,Savings,2,33,Yes,661,80K - 120K,1254243
4998365966,49,Female,High School,Single,Savings,1,31,No,559,Less than 40K,1254123
4998365967,37,Female,Unknown,Married,Savings,2,29,Yes,503,Less than 40K,1244323
4998365968,53,Male,Graduate,Single,Savings,1,46,Yes,695,80K - 120K,1242403
4998365969,46,Male,Post-Graduate,Single,Current,1,42,Yes,640,40K - 60K,1014378
4998365970,44,Female,Uneducated,Single,Savings,2,48,No,624,Less than 40K,1514378
4998365971,50,Female,Unknown,Single,Savings,2,42,No,667,Less than 40K,1511498
4998365972,58,Female,Uneducated,Married,Savings,1,26,No,642,40K - 60K,1143198
4998365973,55,Male,High School,Single,Savings,2,32,Yes,640,120K +,1140318
4998365974,44,Male,College,Unknown,Savings,2,35,Yes,529,80K - 120K,733690
4998365975,57,Male,High School,Married,Savings,2,39,Yes,563,80K - 120K,1233690
4998365976,57,Male,High School,Married,Savings,2,38,Yes,593,40K - 60K,1230930
4998365977,48,Male,High School,Married,Savings,1,45,No,739,80K - 120K,853732
4998365978,51,Male,Graduate,Single,Savings,2,70,Yes,788,60K - 80K,1353732
4998365979,53,Female,Uneducated,Married,Savings,2,38,Yes,684,Less than 40K,1350492
4998365980,45,Female,Doctorate,Single,Savings,1,55,No,482,Less than 40K,908742
4998365981,41,Male,Post-Graduate,Married,Savings,1,58,No,591,60K - 80K,906702
4998365982,51,Female,Graduate,Single,Savings,1,41,No,651,Less than 40K,631951
4998365983,46,Female,High School,Married,Savings,2,40,No,749,Less than 40K,631591
4998365984,40,Female,College,Married,Savings,1,24,No,583,Less than 40K,569991
4998365985,33,Male,Doctorate,Married,Savings,1,42,No,661,60K - 80K,1069991
4998365986,53,Male,High School,Single,Savings,2,31,Yes,715,80K - 120K,1569991
4998365987,63,Male,High School,Married,Savings,1,45,Yes,769,40K - 60K,1565791
4998365988,61,Male,Uneducated,Single,Savings,1,51,Yes,625,80K - 120K,1028015
4998365989,56,Male,High School,Married,Savings,1,36,Yes,641,60K - 80K,2028015
4998365990,53,Male,Graduate,Single,Savings,2,27,Yes,716,60K - 80K,2022855
4998365991,62,Female,Graduate,Married,Savings,2,43,Yes,767,Less than 40K,1246278
4998365992,50,Female,Unknown,Married,Current,1,36,No,745,Unknown,1244478
4998365993,37,Male,Graduate,Married,Savings,2,34,Yes,589,60K - 80K,992453
4998365994,62,Female,Graduate,Married,Savings,1,45,Yes,796,Unknown,989933
4998365995,49,Male,Uneducated,Single,Current,2,57,Yes,664,80K - 120K,594432
4998365996,57,Female,High School,Married,Savings,1,62,Yes,445,Unknown,1594432
4998365997,55,Male,High School,Married,Savings,2,57,Yes,543,80K - 120K,1590712
4998365998,50,Male,Graduate,Married,Savings,2,36,Yes,746,80K - 120K,1047361
4998365999,48,Male,College,Married,Savings,1,33,Yes,742,60K - 80K,1547361
4998366000,60,Female,Uneducated,Divorced,Savings,2,32,Yes,750,40K - 60K,2047361
4998366001,46,Male,Unknown,Single,Savings,1,30,No,669,120K +,2046161
4998366002,47,Male,College,Married,Savings,2,49,No,594,120K +,1823011
4998366003,54,Male,Uneducated,Married,Savings,2,36,No,574,60K - 80K,1822891
4998366004,53,Male,Doctorate,Married,Savings,2,36,Yes,659,60K - 80K,1810391
4998366005,56,Female,Graduate,Single,Savings,3,40,Yes,750,40K - 60K,1806431
4998366006,56,Female,High School,Married,Savings,1,35,Yes,626,40K - 60K,1259757
4998366007,41,Male,Uneducated,Married,Savings,2,42,Yes,620,80K - 120K,1256037
4998366008,60,Female,Graduate,Married,Savings,2,35,No,580,40K - 60K,722985
4998366009,40,Male,Graduate,,Savings,2,34,Yes,686,40K - 60K,1222985
4998366010,49,Female,Post-Graduate,Married,Savings,1,48,No,540,40K - 60K,1220345
4998366011,46,Male,Graduate,Single,Savings,1,35,Yes,634,40K - 60K,722868
4998366012,36,Female,High School,Married,Savings,1,38,Yes,632,Less than 40K,1222868
4998366013,57,Female,Unknown,Married,Savings,1,41,Yes,501,Less than 40K,1722868
4998366014,38,Male,High School,Married,Savings,3,25,Yes,650,80K - 120K,1719748
4998366015,50,Male,Graduate,Divorced,Savings,2,34,Yes,786,80K - 120K,1216742
4998366016,62,Male,Graduate,Married,Savings,1,37,No,554,60K - 80K,1214942
4998366017,43,Male,Unknown,Married,Savings,2,42,No,701,40K - 60K,959890
4998366018,44,Female,Unknown,Single,Savings,2,45,No,474,Less than 40K,959290
4998366019,39,Male,Uneducated,Single,Savings,1,43,Yes,621,40K - 60K,881040
4998366020,38,Male,College,Married,Savings,2,56,Yes,672,80K - 120K,880920
4998366021,44,Female,College,Married,Savings,2,42,Yes,459,Less than 40K,874670
4998366022,43,Male,High School,Married,Savings,2,23,No,669,80K - 120K,1374670
4998366023,54,Male,Post-Graduate,Single,Savings,1,38,Yes,776,80K - 120K,1372390
4998366024,38,Female,Unknown,Single,Savings,1,36,Yes,694,Unknown,1026665
4998366025,55,Male,Unknown,Single,Savings,2,42,Yes,787,60K - 80K,1526665
4998366026,42,Male,Unknown,Unknown,Savings,2,37,No,580,120K +,1524145
4998366027,56,Male,Unknown,Married,Savings,3,25,Yes,711,60K - 80K,1116893
4998366028,59,Female,Unknown,Married,Savings,1,40,Yes,673,Unknown,1115573
4998366029,46,Male,Uneducated,Single,Savings,1,57,No,499,80K - 120K,859523
4998366030,55,Female,Post-Graduate,Married,Savings,1,24,Yes,591,Less than 40K,1359523
4998366031,52,Male,Doctorate,Married,Savings,2,25,No,769,120K +,1357483
4998366032,39,Female,Graduate,Married,Savings,1,31,No,657,Less than 40K,1030482
4998366033,42,Female,Graduate,Single,Savings,2,43,Yes,738,Less than 40K,1028562
4998366034,43,Female,College,Married,Savings,1,60,No,545,Less than 40K,797287
4998366035,47,Female,High School,Unknown,Savings,1,47,Yes,497,Unknown,1297287
4998366036,42,Female,Unknown,Divorced,Savings,1,67,Yes,816,Unknown,1295247
4998366037,39,Male,College,Single,Savings,1,36,No,525,40K - 60K,961447
4998366038,50,Male,Uneducated,Single,Savings,2,46,Yes,725,60K - 80K,961327
4998366039,57,Male,Post-Graduate,Divorced,Savings,2,28,Yes,692,120K +,956327
4998366040,41,Male,Unknown,Married,Savings,1,24,No,618,Less than 40K,1456327
4998366041,52,Female,High School,Married,Savings,1,24,Yes,546,40K - 60K,1452607
4998366042,43,Male,High School,Single,Savings,1,29,Yes,635,60K - 80K,923502
4998366043,42,Male,High School,Single,Savings,3,49,No,611,80K - 120K,922302
4998366044,58,Female,Uneducated,Married,Savings,2,60,Yes,650,40K - 60K,697002
4998366045,42,Male,College,Married,Savings,2,40,Yes,606,80K - 120K,1197002
4998366046,55,Male,Post-Graduate,Married,Savings,1,18,No,844,80K - 120K,1697002
4998366047,38,Male,Unknown,Single,Savings,1,46,Yes,450,80K - 120K,1693882
4998366048,40,Female,Graduate,Married,Savings,1,38,Yes,727,Less than 40K,1148480
4998366049,48,Male,Uneducated,Married,Savings,2,46,Yes,460,80K - 120K,1147040
4998366050,32,Female,Unknown,Married,Savings,2,41,No,649,Less than 40K,990727
4998366051,33,Female,High School,Single,Savings,1,47,Yes,758,Less than 40K,989407
4998366052,58,Male,Graduate,Married,Savings,1,35,Yes,490,40K - 60K,758656
4998366053,26,Male,Unknown,Single,Savings,2,37,Yes,815,40K - 60K,1258656
4998366054,46,Male,Unknown,Married,Salary,2,39,Yes,838,60K - 80K,1258176
4998366055,39,Female,Graduate,Married,Savings,,31,Yes,803,Unknown,1202176
4998366056,36,Female,College,Single,Savings,2,36,Yes,664,40K - 60K,1199896
4998366057,43,Male,Uneducated,Married,Savings,2,28,Yes,736,60K - 80K,917444
4998366058,45,Male,Unknown,Single,Current,1,37,Yes,633,60K - 80K,1417444
4998366059,51,Female,College,Married,Savings,1,58,Yes,664,Unknown,1413364
4998366060,62,Female,Unknown,Married,Savings,1,43,Yes,600,40K - 60K,883012
4998366061,58,Male,Uneducated,Married,Savings,1,35,Yes,693,80K - 120K,1383012
4998366062,42,Male,Graduate,Single,Savings,1,36,No,663,60K - 80K,1381092
4998366063,49,Male,Doctorate,Married,Savings,1,21,Yes,742,60K - 80K,1066009
4998366064,53,Female,Uneducated,Single,Savings,3,43,Yes,710,Less than 40K,1566009
4998366065,45,Female,High School,Married,Savings,1,27,Yes,710,40K - 60K,1562289
4998366066,29,Male,High School,Married,Savings,2,82,No,700,80K - 120K,977338
4998366067,60,Male,Doctorate,Married,Savings,2,60,No,720,120K +,1477338
4998366068,50,Male,Post-Graduate,Single,Savings,2,41,No,684,80K - 120K,1473258
4998366069,53,Male,Doctorate,Single,Savings,1,63,No,531,120K +,874007
4998366070,45,Male,Unknown,Married,Savings,2,36,No,742,80K - 120K,1374007
4998366071,50,Female,Uneducated,Single,Savings,1,31,No,717,Less than 40K,1874007
4998366072,46,Male,Doctorate,Single,Savings,2,32,No,589,80K - 120K,1870167
4998366073,61,Male,Post-Graduate,Married,Savings,1,36,No,767,Unknown,1139742
4998366074,46,Male,College,Single,Savings,2,49,Yes,636,120K +,1138302
4998366075,62,Female,High School,Married,Savings,1,33,Yes,648,Unknown,964952
4998366076,,Female,Graduate,Married,Savings,1,58,Yes,622,40K - 60K,964592
4998366077,54,Male,Graduate,Married,Savings,1,28,No,692,120K +,930092
4998366078,50,Male,Unknown,Single,Savings,2,28,Yes,754,120K +,1430092
4998366079,35,Male,High School,Married,Savings,1,35,No,679,40K - 60K,1424932
4998366080,35,Male,Doctorate,Single,Savings,2,27,Yes,639,40K - 60K,644356
4998366081,36,Female,High School,Single,Savings,2,28,No,774,Less than 40K,844356
4998366082,42,Male,Unknown,Married,Savings,2,41,No,517,80K - 120K,1144356
4998366083,39,Female,Unknown,Married,Savings,2,35,No,571,Less than 40K,1344356
4998366084,50,Male,Unknown,Married,Savings,,58,Yes,747,80K - 120K,1644356
4998366085,43,Male,Doctorate,Single,Savings,1,36,No,792,60K - 80K,1640276
4998366086,39,Female,High School,Single,Savings,2,26,Yes,688,40K - 60K,966648
4998366087,47,Male,Post-Graduate,Married,Savings,1,42,No,714,Less than 40K,1466648
4998366088,60,Male,Post-Graduate,Single,Savings,2,35,Yes,562,80K - 120K,1465448
4998366089,30,Male,High School,Married,Savings,1,48,Yes,704,Less than 40K,1346248
4998366090,44,Male,Unknown,Single,Savings,2,36,Yes,698,60K - 80K,1345048
4998366091,52,Male,Graduate,Single,Savings,2,49,Yes,611,120K +,1195246
4998366092,45,Female,Unknown,Single,Salary,1,48,Yes,850,Less than 40K,1194766
4998366093,40,Male,Graduate,Divorced,Savings,1,34,Yes,743,120K +,1138766
4998366094,36,Female,Post-Graduate,Single,Savings,1,29,Yes,654,Less than 40K,1137566
4998366095,65,Female,High School,Married,Savings,2,36,No,761,Unknown,913966
4998366096,35,Female,Unknown,Married,Savings,1,46,No,702,Less than 40K,913846
4998366097,54,Female,Unknown,Divorced,Savings,1,32,Yes,488,40K - 60K,903346
4998366098,53,Male,Unknown,Married,Savings,2,35,Yes,683,80K - 120K,1403346
4998366099,62,Female,College,Married,Savings,1,42,No,601,Less than 40K,1400586
4998366100,40,Male,Unknown,Single,Savings,2,52,Yes,605,120K +,963908
4998366101,41,Male,High School,Married,Savings,2,44,No,671,60K - 80K,1163908
4998366102,53,Male,Unknown,Married,Savings,2,31,Yes,614,120K +,1161868
4998366103,30,Male,High School,Married,Savings,2,29,No,511,60K - 80K,729718
4998366104,46,Male,Uneducated,Divorced,Savings,2,39,No,850,60K - 80K,1229718
4998366105,29,Male,Post-Graduate,Single,Savings,1,46,No,790,40K - 60K,1228398
4998366106,37,Female,Uneducated,Married,Savings,1,33,No,793,Less than 40K,1071997
4998366107,51,Female,High School,Married,Savings,2,69,Yes,628,Less than 40K,1070677
4998366108,31,Male,Graduate,Married,Savings,1,53,Yes,598,40K - 60K,837994
4998366109,45,Male,Uneducated,Unknown,Savings,1,37,Yes,657,80K - 120K,1037994
4998366110,57,Male,Graduate,Single,Savings,2,35,Yes,618,80K - 120K,1237994
4998366111,43,Male,Unknown,Divorced,Savings,2,65,No,681,60K - 80K,1437994
4998366112,44,Male,Graduate,Married,Savings,2,33,Yes,516,40K - 60K,1436434
4998366113,53,Male,High School,Married,Savings,3,28,Yes,421,120K +,1211634
4998366114,32,Female,Graduate,Single,Savings,2,26,No,700,Less than 40K,1210434
4998366115,53,Male,Graduate,Married,Savings,2,25,Yes,745,80K - 120K,956184
4998366116,54,Male,High School,Married,Savings,2,29,Yes,696,80K - 120K,952824
4998366117,42,Male,Uneducated,Unknown,Savings,1,42,No,580,Less than 40K,588649
4998366118,38,Female,College,Married,Savings,1,27,Yes,497,Less than 40K,788649
4998366119,44,Male,Unknown,Married,Savings,2,43,Yes,720,80K - 120K,1088649
4998366120,54,Male,Graduate,Married,Savings,2,36,Yes,659,60K - 80K,1086129
4998366121,37,Female,High School,Single,Savings,1,36,No,841,40K - 60K,811527
4998366122,48,Female,Graduate,Married,Savings,1,34,Yes,642,40K - 60K,1011527
4998366123,55,Female,Graduate,Married,Savings,1,69,No,732,Unknown,1311527
4998366124,43,Female,Graduate,Unknown,Savings,2,36,Yes,600,Unknown,1309607
4998366125,37,Male,High School,Single,Savings,2,33,Yes,464,60K - 80K,1070302
4998366126,34,Male,High School,Married,Savings,2,47,Yes,680,60K - 80K,1068622
4998366127,46,Female,Graduate,Single,Savings,2,56,Yes,758,Unknown,875947
4998366128,32,Male,Unknown,Single,Savings,2,31,Yes,630,40K - 60K,873307
4998366129,53,Male,Unknown,Married,Savings,2,39,Yes,577,40K - 60K,504056
4998366130,46,Male,Graduate,Divorced,Savings,2,34,Yes,684,80K - 120K,1004056
4998366131,38,Male,College,Married,Savings,1,41,No,708,Less than 40K,1001776
4998366132,31,Female,Graduate,Married,Savings,1,29,Yes,732,Less than 40K,678050
4998366133,38,Male,Unknown,Single,Savings,2,37,Yes,634,60K - 80K,677210
4998366134,46,Female,Graduate,Single,Savings,2,30,No,633,Less than 40K,548210
4998366135,47,Male,High School,Married,Savings,2,34,Yes,559,60K - 80K,1048210
4998366136,47,Female,Graduate,Married,Savings,2,37,Yes,694,Less than 40K,1548210
4998366137,56,Male,College,Married,Savings,1,56,Yes,686,60K - 80K,1543290
4998366138,47,Male,Uneducated,Unknown,Savings,1,48,No,553,60K - 80K,735788
4998366139,47,Male,Graduate,Single,Savings,1,36,No,507,80K - 120K,1235788
4998366140,64,Female,Graduate,Married,Savings,1,50,No,732,Less than 40K,1735788
4998366141,37,Female,Unknown,Married,Savings,1,31,No,818,Less than 40K,1730868
4998366142,42,Male,College,Married,Current,1,35,No,660,60K - 80K,950842
4998366143,41,Male,College,Married,Current,1,41,Yes,773,80K - 120K,949522
4998366144,65,Female,High School,Married,Savings,1,44,Yes,640,Less than 40K,796009
4998366145,49,Female,Post-Graduate,Married,Savings,1,49,No,505,40K - 60K,795409
4998366146,54,Male,High School,Married,Savings,2,21,No,714,60K - 80K,692684
4998366147,46,Male,Uneducated,Single,Savings,2,42,Yes,468,120K +,1192684
4998366148,50,Male,Unknown,Married,Savings,1,51,Yes,611,40K - 60K,1392684
4998366149,50,Female,Unknown,Married,Savings,1,25,No,705,Less than 40K,1592684
4998366150,48,Female,Doctorate,Married,Savings,2,46,Yes,646,Less than 40K,1590644
4998366151,62,Female,Unknown,Married,Savings,2,48,No,667,Unknown,1112045
4998366152,39,Female,College,Married,Savings,1,41,Yes,511,Less than 40K,1111925
4998366153,46,Male,Unknown,Married,Savings,2,43,Yes,653,60K - 80K,1103925
4998366154,41,Male,Uneducated,Married,Savings,2,57,No,675,80K - 120K,1101885
4998366155,39,Female,Graduate,Married,Savings,2,32,Yes,523,Unknown,816959
4998366156,46,Male,Unknown,Married,Savings,1,49,Yes,567,80K - 120K,1016959
4998366157,39,Female,Uneducated,Single,Savings,2,39,No,741,Less than 40K,1014679
4998366158,44,Male,Uneducated,Married,Savings,1,32,Yes,456,Less than 40K,660679
4998366159,57,Female,Unknown,Single,Savings,2,64,Yes,598,Less than 40K,860679
4998366160,40,Male,Unknown,Single,Savings,1,43,Yes,667,40K - 60K,1160679
4998366161,65,Female,High School,Married,Savings,1,32,Yes,548,Unknown,1460679
4998366162,26,Female,Graduate,Single,Savings,1,41,Yes,725,40K - 60K,1660679
4998366163,47,Male,High School,Unknown,Savings,2,53,No,717,60K - 80K,1656599
4998366164,47,Male,High School,Married,Savings,2,38,No,594,60K - 80K,855723
4998366165,57,Female,High School,Married,Savings,2,25,No,678,40K - 60K,1155723
4998366166,31,Male,Unknown,Married,Savings,2,38,Yes,545,Less than 40K,1153563
4998366167,54,Male,Graduate,Married,Savings,1,48,Yes,636,60K - 80K,748863
4998366168,43,Female,Post-Graduate,Married,Savings,2,44,Yes,603,Unknown,1048863
4998366169,39,Male,College,Married,Savings,1,36,Yes,435,60K - 80K,1045863
4998366170,53,Male,Graduate,Married,Savings,1,40,Yes,535,120K +,465637
4998366171,44,Male,Unknown,Married,Savings,3,45,Yes,629,60K - 80K,965637
4998366172,59,Male,College,Married,Savings,2,35,Yes,722,Less than 40K,1265637
4998366173,53,Female,Graduate,Married,Savings,2,28,Yes,561,Unknown,1262637
4998366174,34,Female,Uneducated,Married,Savings,2,38,No,645,40K - 60K,679561
4998366175,47,Male,Doctorate,Single,Savings,1,39,No,501,80K - 120K,1079561
4998366176,54,Male,College,Married,Savings,1,32,No,502,120K +,1479561
4998366177,42,Female,Graduate,Married,Savings,2,42,Yes,652,Unknown,1479201
4998366178,53,Female,College,Married,Savings,1,33,Yes,574,Less than 40K,1419501
4998366179,50,Male,Graduate,Single,Savings,2,45,Yes,518,80K - 120K,1418181
4998366180,56,Male,College,Married,Savings,1,60,Yes,749,80K - 120K,1210718
4998366181,43,Male,High School,Married,Savings,3,43,Yes,679,60K - 80K,1510718
4998366182,44,Female,High School,Divorced,Savings,1,36,Yes,565,Less than 40K,1507118
4998366183,34,Female,Graduate,Divorced,Savings,1,45,Yes,643,40K - 60K,893943
4998366184,61,Male,Graduate,Unknown,Savings,1,65,Yes,515,80K - 120K,1293943
4998366185,54,Female,Unknown,Married,Savings,2,25,Yes,521,Less than 40K,1693943
4998366186,49,Female,High School,Divorced,Savings,1,38,Yes,739,Unknown,1689983
4998366187,56,Male,High School,Single,Savings,2,42,Yes,585,60K - 80K,1061580
4998366188,47,Male,Graduate,Married,Savings,1,74,Yes,733,60K - 80K,1059780
4998366189,53,Male,Graduate,Single,Savings,1,43,No,542,80K - 120K,808829
4998366190,30,Female,Graduate,Divorced,Savings,1,37,No,788,Unknown,1108829
4998366191,39,Female,High School,Married,Savings,2,32,Yes,435,40K - 60K,1408829
4998366192,44,Male,Graduate,Married,Current,1,42,Yes,577,80K - 120K,1808829
4998366193,54,Female,Uneducated,Single,Savings,3,51,Yes,703,Unknown,1808349
4998366194,46,Male,Graduate,Married,Savings,2,35,Yes,728,60K - 80K,1744749
4998366195,43,Male,Unknown,Single,Savings,1,32,Yes,728,40K - 60K,1744389
4998366196,35,Male,High School,Married,Savings,2,35,Yes,718,80K - 120K,1694689
4998366197,39,Female,College,Married,Savings,1,40,Yes,621,Less than 40K,1693129
4998366198,61,Female,Graduate,Married,Savings,1,40,Yes,523,Less than 40K,1472727
4998366199,40,Female,Graduate,Divorced,Savings,1,25,Yes,657,Less than 40K,1470447
4998366200,53,Male,College,Single,Savings,2,40,Yes,727,120K +,1136347
4998366201,55,Male,Unknown,Married,Savings,2,36,No,643,120K +,1536347
4998366202,41,Male,Unknown,Single,Savings,1,48,Yes,645,60K - 80K,1531907
4998366203,35,Male,Uneducated,Married,Savings,2,28,Yes,568,Less than 40K,916090
4998366204,61,Male,Unknown,Single,Savings,1,58,No,599,40K - 60K,1216090
4998366205,51,Male,Uneducated,Single,Savings,1,45,Yes,672,120K +,1616090
4998366206,42,Male,High School,Single,Savings,1,33,Yes,685,40K - 60K,1613330
4998366207,46,Male,Unknown,Divorced,Savings,1,46,Yes,516,80K - 120K,1105204
4998366208,46,Female,High School,Single,Savings,1,31,Yes,685,Less than 40K,1505204
4998366209,46,Male,Uneducated,Married,Savings,2,25,Yes,806,40K - 60K,1503044
4998366210,26,Male,Graduate,Single,Savings,2,36,Yes,604,Unknown,1176261
4998366211,46,Male,High School,Married,Savings,1,53,Yes,648,60K - 80K,1174461
4998366212,62,Male,Graduate,Married,Savings,1,32,Yes,545,60K - 80K,926761
4998366213,55,Male,Uneducated,Divorced,Savings,1,27,Yes,756,60K - 80K,1326761
4998366214,55,Male,College,Married,Savings,1,35,Yes,569,80K - 120K,1323401
4998366215,32,Male,High School,Married,Savings,1,47,Yes,596,40K - 60K,812698
4998366216,37,Female,Uneducated,Married,Savings,1,39,Yes,475,Less than 40K,1212698
4998366217,33,Female,High School,Single,Savings,1,45,Yes,646,Unknown,1212578
4998366218,42,Male,College,Married,Savings,2,35,No,784,80K - 120K,1207578
4998366219,33,Male,Post-Graduate,Married,Savings,2,45,Yes,552,80K - 120K,1206738
4998366220,60,Female,High School,Single,Savings,2,44,No,729,Unknown,1071238
4998366221,65,Male,High School,Married,Savings,1,61,Yes,609,Less than 40K,1571238
4998366222,57,Male,Graduate,Married,Savings,3,51,Yes,555,80K - 120K,1569678
4998366223,59,Female,Unknown,Married,Savings,1,19,Yes,572,Less than 40K,1324928
4998366224,45,Female,Graduate,Married,Savings,1,34,Yes,785,Less than 40K,1323008
4998366225,62,Male,Uneducated,Married,Savings,2,36,Yes,714,60K - 80K,1089157
4998366226,51,Male,College,Single,Savings,1,35,Yes,738,120K +,1589157
4998366227,57,Male,Graduate,Married,Savings,1,38,Yes,639,80K - 120K,1586397
4998366228,38,Female,High School,Married,Savings,2,61,Yes,520,Unknown,1149247
4998366229,32,Female,Graduate,Married,Savings,1,24,No,764,Less than 40K,1146607
4998366230,43,Female,Graduate,Married,Savings,1,39,No,661,Less than 40K,748682
4998366231,51,Female,Unknown,Divorced,Savings,2,41,Yes,564,Less than 40K,1248682
4998366232,50,Male,Unknown,Divorced,Savings,2,42,Yes,708,80K - 120K,1748682
4998366233,64,Female,Uneducated,Married,Savings,1,36,No,512,Unknown,1747002
4998366234,53,Female,Doctorate,Married,Savings,3,37,Yes,592,Less than 40K,1518825
4998366235,42,Male,Uneducated,Single,Savings,2,38,No,619,60K - 80K,1516665
4998366236,53,Male,Graduate,Single,Savings,1,52,Yes,775,80K - 120K,1275913
4998366237,52,Female,High School,Single,Savings,1,44,No,850,Unknown,1275553
4998366238,60,Female,High School,Married,Savings,1,37,Yes,577,Less than 40K,1227553
4998366239,30,Male,Graduate,Married,Savings,1,37,Yes,724,80K - 120K,1727553
4998366240,43,Female,Uneducated,Married,Savings,1,35,Yes,710,Less than 40K,1722993
4998366241,60,Male,Uneducated,Married,Savings,2,31,No,696,60K - 80K,946142
4998366242,46,Male,High School,Single,Savings,1,46,Yes,376,40K - 60K,1446142
4998366243,65,Female,High School,Married,Savings,1,29,Yes,675,40K - 60K,1442782
4998366244,44,Female,College,Single,Savings,1,36,Yes,745,40K - 60K,1084032
4998366245,56,Female,College,Married,Savings,2,25,Yes,697,Less than 40K,1584032
4998366246,,Female,High School,Married,Savings,1,39,Yes,599,Unknown,1580672
4998366247,37,Male,Graduate,Unknown,Savings,1,38,Yes,715,40K - 60K,984297
4998366248,48,Male,High School,Married,Savings,1,67,Yes,659,80K - 120K,1484297
4998366249,37,Female,College,Married,Savings,1,48,No,684,40K - 60K,1481417
4998366250,39,Male,Uneducated,Single,Savings,2,48,Yes,635,60K - 80K,1061967
4998366251,41,Male,Graduate,Married,Savings,1,33,Yes,789,120K +,1561967
4998366252,55,Female,High School,Married,Savings,1,66,No,571,Less than 40K,1559567
4998366253,34,Male,Graduate,Married,Savings,1,39,Yes,694,80K - 120K,1136182
4998366254,52,Male,Unknown,Single,Savings,2,42,No,665,80K - 120K,1536182
4998366255,54,Female,Post-Graduate,Single,Current,1,44,No,706,Less than 40K,1936182
4998366256,40,Male,Post-Graduate,Married,Savings,2,43,No,807,80K - 120K,1935822
4998366257,52,Male,High School,Married,Current,2,67,Yes,771,120K +,1902273
4998366258,45,Male,Graduate,Single,Savings,1,27,No,531,60K - 80K,1900593
4998366259,61,Male,Post-Graduate,Married,Savings,1,37,Yes,629,40K - 60K,1611742
4998366260,57,Female,High School,Married,Savings,1,31,Yes,850,Less than 40K,1607302
4998366261,51,Male,Unknown,Unknown,Savings,1,35,Yes,685,120K +,944525
4998366262,60,Male,Unknown,Single,Savings,1,32,Yes,642,Less than 40K,1444525
4998366263,48,Female,College,Married,Savings,3,63,Yes,529,Less than 40K,1441045
4998366264,34,Male,High School,Married,Savings,1,43,Yes,683,40K - 60K,824095
4998366265,49,Male,High School,Married,Savings,1,42,Yes,663,60K - 80K,1224095
4998366266,53,Male,High School,Married,Savings,1,34,Yes,563,120K +,1220975
4998366267,34,Male,Uneducated,Single,Savings,2,34,No,637,80K - 120K,792825
4998366268,54,Male,Graduate,Married,Savings,1,37,No,544,60K - 80K,1292825
4998366269,40,Male,Graduate,Single,Savings,2,70,No,649,120K +,1290185
4998366270,49,Female,College,Single,Savings,1,48,Yes,638,Unknown,864433
4998366271,41,Female,High School,Single,Savings,2,25,Yes,723,Less than 40K,1364433
